time,ust,mim,ideal
2022-04-04T00:00:00+00:00,44131617.33753792,62914436.39503755,0.5
2022-04-05T00:00:00+00:00,44653954.07445159,57742179.56221651,0.5
2022-04-06T00:00:00+00:00,43086169.95022263,58625815.70016446,0.5
2022-04-07T00:00:00+00:00,46250112.01513094,55132925.100024946,0.5
2022-04-08T00:00:00+00:00,46170008.975139014,54979080.414915666,0.5
2022-04-09T00:00:00+00:00,41056434.91037284,54494265.84179795,0.5
2022-04-10T00:00:00+00:00,43865319.486302175,46608551.73055728,0.5
2022-04-11T00:00:00+00:00,43255453.561357014,48120154.76665502,0.5
2022-04-12T00:00:00+00:00,43069793.33599629,48314104.10944516,0.5
2022-04-13T00:00:00+00:00,34825196.00361102,55633104.16822893,0.5
2022-04-14T00:00:00+00:00,28042971.59655612,61776835.49391047,0.5
2022-04-15T00:00:00+00:00,21343181.11163246,67498831.55699703,0.5
2022-04-16T00:00:00+00:00,21765810.209404357,68075670.0044489,0.5
2022-04-17T00:00:00+00:00,19643407.742123913,70114097.15457812,0.5
2022-04-18T00:00:00+00:00,19583708.659006212,70175988.51844545,0.5
2022-04-19T00:00:00+00:00,18344642.882934473,71379937.1263303,0.5
2022-04-20T00:00:00+00:00,15646015.792849306,73693853.44495922,0.5
2022-04-21T00:00:00+00:00,16052627.052038405,70987346.8538511,0.5
2022-04-22T00:00:00+00:00,16104976.328559233,70935257.52403508,0.5
2022-04-23T00:00:00+00:00,17141733.391772702,69895564.5225831,0.5
2022-04-24T00:00:00+00:00,18215600.175359678,68315967.18146323,0.5
2022-04-25T00:00:00+00:00,17717128.770798605,68816020.86653212,0.5
2022-04-26T00:00:00+00:00,21629994.723754827,64814599.28983177,0.5
2022-04-27T00:00:00+00:00,21787240.226772454,64619431.18438312,0.5
2022-04-28T00:00:00+00:00,22824462.898642052,63481450.47493117,0.5
2022-04-29T00:00:00+00:00,24166996.263276566,61358449.36243967,0.5
2022-04-30T00:00:00+00:00,25588607.075181935,59837039.48883496,0.5
2022-05-01T00:00:00+00:00,26402351.991801463,60024318.59839182,0.5
2022-05-02T00:00:00+00:00,15425464.431624345,60383412.44652589,0.5
2022-05-03T00:00:00+00:00,15564435.464097386,60744772.22692353,0.5
2022-05-04T00:00:00+00:00,13652241.048556222,62659701.93649211,0.5
2022-05-05T00:00:00+00:00,12851801.447341971,63430624.801831216,0.5
2022-05-06T00:00:00+00:00,13707747.797478827,62571652.03674614,0.5
2022-05-07T00:00:00+00:00,55646599.39858998,15369498.35054596,0.5
2022-05-08T00:00:00+00:00,34823422.53968931,35893196.13578308,0.5
2022-05-09T00:00:00+00:00,117508232.36754377,2691792.2146053887,0.5
2022-05-10T00:00:00+00:00,78004371.78627177,1784635.539861841,0.5
2022-05-11T00:00:00+00:00,76640396.53435968,1962195.2946263507,0.5
2022-05-12T00:00:00+00:00,71717973.96046317,651431.5952409847,0.5
2022-05-13T00:00:00+00:00,72463077.693565,298977.79202741635,0.5
2022-05-14T00:00:00+00:00,71956408.64561719,370116.61143570044,0.5
2022-05-15T00:00:00+00:00,72189403.5713511,331124.6902001245,0.5
2022-05-16T00:00:00+00:00,55352202.88089726,195932.63869245542,0.5
2022-05-17T00:00:00+00:00,55333844.04345893,184999.96143010136,0.5
2022-05-18T00:00:00+00:00,55191521.714238174,189907.80709940966,0.5
2022-05-19T00:00:00+00:00,55446209.991376325,167931.395872771,0.5
2022-05-20T00:00:00+00:00,53739840.89651753,150685.16457594774,0.5
2022-05-21T00:00:00+00:00,7292887.589291052,18329.35922406677,0.5
2022-05-22T00:00:00+00:00,7248785.678968303,20981.509266901154,0.5
2022-05-23T00:00:00+00:00,7246459.431620547,21152.24643955337,0.5
2022-05-24T00:00:00+00:00,7246166.777257921,21182.537092174214,0.5
2022-05-25T00:00:00+00:00,7095909.390156287,24632.27271486039,0.5
2022-05-26T00:00:00+00:00,2677153.62971364,6663.938872007677,0.5
2022-05-27T00:00:00+00:00,2518944.9001228265,5622.066769197293,0.5
2022-05-28T00:00:00+00:00,2543700.3789038337,4494.1333212223735,0.5
2022-05-29T00:00:00+00:00,2522696.0615546703,5033.814123017332,0.5
2022-05-30T00:00:00+00:00,2530971.7368531907,4807.0127571017565,0.5
2022-05-31T00:00:00+00:00,2545787.6371364547,4450.703400916041,0.5
