time,USDN,3CRV,USDN%,3CRV%,Ideal Balance,total
2021-06-10T15:00:00+00:00,222150184.94998708,288304284.15678144,0.4352007836050924,0.5647992163949076,0.5,510454469.1067685
2021-06-10T16:00:00+00:00,222150184.94998708,288243796.4902923,0.43525235999668743,0.5647476400033126,0.5,510393981.4402794
2021-06-10T17:00:00+00:00,222150186.49511012,288305472.21973944,0.43519977240414437,0.5648002275958556,0.5,510455658.71484953
2021-06-10T18:00:00+00:00,222150186.49511012,288315325.79284614,0.43519137169406663,0.5648086283059334,0.5,510465512.2879563
2021-06-10T19:00:00+00:00,222149365.95416826,287300190.3361048,0.4360576296735304,0.5639423703264697,0.5,509449556.2902731
2021-06-10T20:00:00+00:00,222149703.02919564,287358375.6323016,0.43600820542982127,0.5639917945701787,0.5,509508078.6614973
2021-06-10T22:00:00+00:00,222149703.02919564,286932373.65422136,0.43637305889153105,0.563626941108469,0.5,509082076.683417
2021-06-10T23:00:00+00:00,222149703.02919564,287369418.9400683,0.4359987553962627,0.5640012446037374,0.5,509519121.969264
2021-06-11T00:00:00+00:00,222149703.02919564,287420004.50627583,0.43595547330240714,0.5640445266975929,0.5,509569707.5354715
2021-06-11T01:00:00+00:00,222149703.02919564,287774372.7577796,0.4356525090256778,0.5643474909743222,0.5,509924075.78697526
2021-06-11T02:00:00+00:00,222150072.1179188,289975009.8949827,0.4337808865848956,0.5662191134151043,0.5,512125082.0129015
2021-06-11T03:00:00+00:00,222150072.1179188,288894333.4242058,0.4346981782967729,0.5653018217032271,0.5,511044405.54212457
2021-06-11T04:00:00+00:00,222150072.1179188,288673455.02978307,0.4348861403435032,0.5651138596564969,0.5,510823527.14770186
2021-06-11T05:00:00+00:00,222150072.1179188,289204664.66874295,0.43443436842670774,0.5655656315732922,0.5,511354736.78666174
2021-06-11T06:00:00+00:00,221654482.6363761,290248318.9410895,0.43300111262007507,0.566998887379925,0.5,511902801.5774656
2021-06-11T07:00:00+00:00,221659963.985739,287403604.6235971,0.43542688507698846,0.5645731149230115,0.5,509063568.6093361
2021-06-11T08:00:00+00:00,221659963.985739,287427874.9954373,0.4354061264345679,0.5645938735654321,0.5,509087838.9811763
2021-06-11T09:00:00+00:00,221659963.985739,286979152.3262145,0.4357902427814708,0.5642097572185292,0.5,508639116.3119535
2021-06-11T10:00:00+00:00,221661424.87283745,285526352.9411976,0.4370401546902252,0.5629598453097747,0.5,507187777.814035
2021-06-11T11:00:00+00:00,221661424.87283745,285196670.05265975,0.4373244249071712,0.5626755750928288,0.5,506858094.9254972
2021-06-11T12:00:00+00:00,221661424.87283745,279931045.2790824,0.4419153756548653,0.5580846243451347,0.5,501592470.15191984
2021-06-11T13:00:00+00:00,221661677.9422233,279930795.59411234,0.44191587720497566,0.5580841227950244,0.5,501592473.5363357
2021-06-11T14:00:00+00:00,221636600.36130238,278777911.5259644,0.44290602110122784,0.5570939788987722,0.5,500414511.88726676
2021-06-11T15:00:00+00:00,221636600.36130238,279083520.17912066,0.44263569860562396,0.5573643013943761,0.5,500720120.54042304
2021-06-11T16:00:00+00:00,221748274.72236338,274510777.0863821,0.4468397582152789,0.5531602417847211,0.5,496259051.8087455
2021-06-11T17:00:00+00:00,221970442.4604404,274290264.2624145,0.44728595162462353,0.5527140483753764,0.5,496260706.7228549
2021-06-11T18:00:00+00:00,221972194.65772665,274203097.1813738,0.4473664817830303,0.5526335182169697,0.5,496175291.8391004
2021-06-11T19:00:00+00:00,221972194.65772665,278178295.842863,0.4438108106933166,0.5561891893066834,0.5,500150490.50058967
2021-06-11T20:00:00+00:00,221972194.65772665,278340059.0874534,0.44366731575353724,0.5563326842464628,0.5,500312253.7451801
2021-06-11T21:00:00+00:00,222164546.65772665,278170184.93730205,0.4440318303498203,0.5559681696501797,0.5,500334731.5950287
2021-06-11T22:00:00+00:00,222365508.32628378,275697356.62219197,0.4464607260958661,0.5535392739041339,0.5,498062864.9484757
2021-06-11T23:00:00+00:00,222365508.32628378,276798058.2678841,0.4454762390682899,0.5545237609317101,0.5,499163566.5941678
